city,state,population,state_name,slug
Jackson,TN,67685,Tennessee,jackson-tn
Pasco,WA,67599,Washington,pasco-wa
St. Charles,MO,67569,Missouri,st-charles-mo
Eau Claire,WI,67545,Wisconsin,eau-claire-wi
North Richland Hills,TX,67317,Texas,north-richland-hills-tx
Bismarck,ND,67034,North Dakota,bismarck-nd
Yorba Linda,CA,67032,California,yorba-linda-ca
Kenner,LA,66975,Louisiana,kenner-la
Walnut Creek,CA,66900,California,walnut-creek-ca
Frederick,MD,66893,Maryland,frederick-md
Oshkosh,WI,66778,Wisconsin,oshkosh-wi
Pittsburg,CA,66695,California,pittsburg-ca
Palo Alto,CA,66642,California,palo-alto-ca
Bossier City,LA,66333,Louisiana,bossier-city-la
Portland,ME,66318,Maine,portland-me
St. Cloud,MN,66297,Minnesota,st-cloud-mn
Davis,CA,66205,California,davis-ca
South San Francisco,CA,66174,California,south-san-francisco-ca
Camarillo,CA,66086,California,camarillo-ca
North Little Rock,AR,66075,Arkansas,north-little-rock-ar
Schenectady,NY,65902,New York,schenectady-ny
Gaithersburg,MD,65690,Maryland,gaithersburg-md
Harlingen,TX,65665,Texas,harlingen-tx
Woodbury,MN,65656,Minnesota,woodbury-mn
Eagan,MN,65453,Minnesota,eagan-mn
Yuba City,CA,65416,California,yuba-city-ca
Maple Grove,MN,65415,Minnesota,maple-grove-mn
Youngstown,OH,65184,Ohio,youngstown-oh
Skokie,IL,65176,Illinois,skokie-il
Kissimmee,FL,65173,Florida,kissimmee-fl
Johnson City,TN,65123,Tennessee,johnson-city-tn
Victoria,TX,65098,Texas,victoria-tx
San Clemente,CA,65040,California,san-clemente-ca
Bayonne,NJ,65028,New Jersey,bayonne-nj
Laguna Niguel,CA,64652,California,laguna-niguel-ca
East Orange,NJ,64544,New Jersey,east-orange-nj
Shawnee,KS,64323,Kansas,shawnee-ks
Homestead,FL,64079,Florida,homestead-fl
Rockville,MD,64072,Maryland,rockville-md
Delray Beach,FL,64072,Florida,delray-beach-fl
Janesville,WI,63820,Wisconsin,janesville-wi
Conway,AR,63816,Arkansas,conway-ar
Pico Rivera,CA,63771,California,pico-rivera-ca
Lorain,OH,63710,Ohio,lorain-oh
Montebello,CA,63495,California,montebello-ca
Lodi,CA,63338,California,lodi-ca
New Braunfels,TX,63279,Texas,new-braunfels-tx
Marysville,WA,63269,Washington,marysville-wa
Tamarac,FL,63155,Florida,tamarac-fl
Madera,CA,63105,California,madera-ca
Conroe,TX,63032,Texas,conroe-tx
Santa Cruz,CA,62864,California,santa-cruz-ca
Eden Prairie,MN,62603,Minnesota,eden-prairie-mn
Cheyenne,WY,62448,Wyoming,cheyenne-wy
Daytona Beach,FL,62316,Florida,daytona-beach-fl
Alpharetta,GA,62298,Georgia,alpharetta-ga
Hamilton,OH,62258,Ohio,hamilton-oh
Waltham,MA,62227,Massachusetts,waltham-ma
Coon Rapids,MN,62103,Minnesota,coon-rapids-mn
Haverhill,MA,62088,Massachusetts,haverhill-ma
Council Bluffs,IA,61969,Iowa,council-bluffs-ia
Taylor,MI,61817,Michigan,taylor-mi
Utica,NY,61808,New York,utica-ny
Ames,IA,61792,Iowa,ames-ia
La Habra,CA,61653,California,la-habra-ca
Encinitas,CA,61588,California,encinitas-ca
Bowling Green,KY,61488,Kentucky,bowling-green-ky
Burnsville,MN,61434,Minnesota,burnsville-mn
Greenville,SC,61397,South Carolina,greenville-sc
West Des Moines,IA,61255,Iowa,west-des-moines-ia
Cedar Park,TX,61238,Texas,cedar-park-tx
Tulare,CA,61170,California,tulare-ca
Monterey Park,CA,61085,California,monterey-park-ca
Vineland,NJ,61050,New Jersey,vineland-nj
